"","date","mean_daily_sentiment","total_tweets","total_tweets_incl_retweets"
"220",2018-05-08,-0.0276407650546253,7032,8195
"221",2018-05-09,-0.0395570473833924,4878,5678
"222",2018-05-10,-0.00198505542349124,4208,5666
"223",2018-05-11,0.00621564765719643,3168,3696
"224",2018-05-12,0.00721583528947249,2536,2851
"225",2018-05-13,0.0298235300538028,2201,2434
"226",2018-05-14,0.00303864813056582,2190,2459
"227",2018-05-15,-0.00286374247750773,2219,2609
"228",2018-05-16,0.00503580285270119,2421,2773
"229",2018-05-17,-0.0048446710843572,2509,2827
"230",2018-05-18,-0.00866182614769255,2278,2442
"231",2018-05-19,-0.00842363681819989,1455,1689
"232",2018-05-20,-0.00648108111370778,1703,1910
"233",2018-05-21,0.0116006576177741,2731,3214
"234",2018-05-22,-0.00342154104464045,2690,3116
"235",2018-05-23,-0.00483532309639465,2649,2900
"236",2018-05-24,-0.0364987423875292,4798,5232
"237",2018-05-25,-0.0183072405066715,6031,6524
"238",2018-05-26,-0.0190797417850108,3150,3486
"239",2018-05-27,-0.0226267205605828,2299,2505
"240",2018-05-28,-0.00874104454997793,1796,2006
"241",2018-05-29,-0.026161976122097,2565,2846
"242",2018-05-30,-0.0026356023122419,2654,2978
"243",2018-05-31,-0.0157867882182383,3293,3498
"244",2018-06-01,-0.00902721623039074,3294,6901
"245",2018-06-02,0.00460558047421695,2200,3530
"246",2018-06-03,-0.00545478009700107,1830,2547
"247",2018-06-04,-0.0159655329497966,6108,8051
"248",2018-06-05,-0.00516223170226662,5336,6468
"249",2018-06-06,0.00543070391231664,5040,5858
"250",2018-06-07,-0.000540044127146485,3730,4442
"251",2018-06-08,0.0186128244742472,3474,4496
"252",2018-06-09,0.00966357931480903,2655,3270
"253",2018-06-10,-0.00593412333636325,2200,2549
"254",2018-06-11,-0.0202992604133628,2670,3055
"255",2018-06-12,-0.0254510345947295,3114,3692
"256",2018-06-13,-0.00854924103311436,3018,3385
"257",2018-06-14,-0.00224030996322199,2828,3918
"258",2018-06-15,-0.0143522295864552,3611,3966
"259",2018-06-16,-0.0280145773730066,2278,2482
"260",2018-06-17,-0.0134435850558392,1769,1906
"261",2018-06-18,0.00266126031974068,2279,2451
"262",2018-06-19,-0.0142614318868591,2257,2646
"263",2018-06-20,-0.014517733842323,2365,2835
"264",2018-06-21,-0.0201694203627528,2297,2511
"265",2018-06-22,-0.0120795198259715,2051,2364
"266",2018-06-23,-0.017815790248457,1636,1755
"267",2018-06-24,-0.0204125547859291,1485,1681
"268",2018-06-25,-0.00370726194891253,1814,1973
"269",2018-06-26,-0.0019461885363634,2304,2477
"270",2018-06-27,-0.00133061110412278,2633,2868
"271",2018-06-28,-0.000821017624199355,2761,3066
"272",2018-06-29,-0.0082034944018756,2659,2879
"273",2018-06-30,-0.00126402030335513,1758,1948
"274",2018-07-01,0.00223668254835974,1858,5506
"275",2018-07-02,-0.00739028351181797,2164,3733
"276",2018-07-03,-0.0127223360546929,2576,3621
"277",2018-07-04,-0.00941032623007561,1936,2369
"278",2018-07-05,-0.0125275920228249,2197,2431
"279",2018-07-06,-0.0848905825830978,9574,11853
"280",2018-07-07,-0.0465231711754562,4392,4983
"281",2018-07-08,-0.0347207717171435,2697,3164
"282",2018-07-09,-0.0226672046696694,3609,4905
"283",2018-07-10,-0.0148750153978918,2956,3478
"284",2018-07-11,-0.0110488787607794,2529,2818
"285",2018-07-12,-0.0412055114756792,3699,4506
"286",2018-07-13,-0.0196900399040458,3285,3782
"287",2018-07-14,-0.0285155918462376,2144,2433
"288",2018-07-15,-0.0510455161745321,1811,2025
"289",2018-07-16,-0.00465300638204069,1846,2137
"290",2018-07-17,-0.00601457188230151,2002,2382
"291",2018-07-18,-0.00424108511699539,2152,2325
"292",2018-07-19,0.00426713343771974,2291,2633
"293",2018-07-20,-0.00944336069638993,2773,3046
"294",2018-07-21,-0.0192158935107003,1905,2101
"295",2018-07-22,-0.0212391112967911,1385,1463
"296",2018-07-23,-0.0076918613019787,1993,2174
"297",2018-07-24,0.00149245935572941,1979,2213
"298",2018-07-25,-0.00851495166558616,1982,2289
"299",2018-07-26,-0.0174540636516546,2140,2528
"300",2018-07-27,-0.00869663314344641,2682,3455
"301",2018-07-28,-0.0432642240494855,2162,2474
"302",2018-07-29,-0.0301041851107974,1520,1641
"303",2018-07-30,-0.0124863664600334,2737,3082
"304",2018-07-31,-0.0138069877959909,2793,3050
"305",2018-08-01,-0.0124737904210068,2791,5165
"306",2018-08-02,-0.0121465283772824,2547,3489
